Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
32OlwWuMpZ6b0aN2RZOeMS,"3hv9jJF3adDNsBSIQDqcjp,0du5cEVh5yTK9QJze8zA0C","Uptown Funk (feat. Bruno Mars)","Uptown Special","Mark Ronson,Bruno Mars",2015-01-12,269666,84,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop",0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
34gCuhDGsG4bRPIf9bb02f,"6eUKZXaKkcviH0Ku9w2n3V","Thinking out Loud","x (Deluxe Edition)","Ed Sheeran",2014-06-21,281560,85,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop,uk pop",0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,4
2JzZzZUQj3Qff7wapcbKjc,"137W8MRPWKqSmrBGDBFSop,6VuMaDnrHyPL1p4EHjYLi7","See You Again (feat. Charlie Puth)","See You Again (feat. Charlie Puth)","Wiz Khalifa,Charlie Puth",2015,229525,83,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap,pop,viral pop",0.689,0.481,10,-7.503,1,0.0815,0.369,0.00000103,0.0649,0.283,80.025,4
4kbj5MwxO1bq9wjT5g9HaA,"6DIS6PRrLS3wbnZsf7vYic","Shut Up and Dance","TALKING IS HARD","WALK THE MOON",2014-12-02,199080,85,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance rock,modern alternative rock,modern rock,pop",0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4
1p80LdxRV74UKvL8gnD7ky,"06HL4z0CvFAxyc27GXpf02","Blank Space","1989","Taylor Swift",2014-10-27,231826,80,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop",0.753,0.678,5,-5.421,1,0.0644,0.085,0.00000164,0.13,0.583,96.006,4
5RIVoVdkDLEygELLCniZFr,"7juKTDFlPesGeWQ1GmjmOv","Watch Me (Whip / Nae Nae)","Watch Me (Whip / Nae Nae)","Silentó",2015-05-04,185142,66,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"chicago bop,pinoy hip hop",0.821,0.759,8,-8.541,1,0.121,0.247,0,0.321,0.962,140.01,4
2PIvq1pGrUjY007X5y1UpM,"1Xyo4u8uXC1ZmMpatF05PJ","Earned It (Fifty Shades Of Grey) - From The Fifty Shades Of Grey Soundtrack","Earned It (Fifty Shades Of Grey) [From The Fifty Shades Of Grey Soundtrack]","The Weeknd",2014-12-23,252226,78,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"canadian contemporary r&b,canadian pop,pop",0.659,0.381,2,-5.922,0,0.0304,0.385,0,0.0972,0.426,119.844,3
5b88tNINg4Q4nrRbrCXUmg,"2RdwBSPQiwcmiDo9kixcl8","Happy - From Despicable Me 2","G I R L","Pharrell Williams",2014-03-03,232720,1,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop,pop rap",0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,4
5jrdCoLpJSvHHorevXBATy,"6jJ0s89eD6GaHleKKya26X,5gCRApTajqwbnHHPbr2Fpi","Dark Horse","PRISM (Deluxe)","Katy Perry,Juicy J",2013-10-18,215672,79,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop,crunk,memphis hip hop,pop rap,rap,southern hip hop,trap",0.645,0.585,6,-6.122,1,0.0513,0.00314,0,0.165,0.353,131.931,4
3U4isOIWM3VvDubwSI3y7a,"5y2Xq6xcjJb2jVM54GHK3t","All of Me","Love In The Future (Expanded Edition)","John Legend",2013-08-30,269560,86,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"neo soul,pop,pop soul,urban contemporary",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4
6sy3LkhNFjJWlaeSMNwQ62,"5Pwc4xIPtQLFEnJriah9YJ","Counting Stars","Native","OneRepublic",2014-01-01,257839,79,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"piano rock,pop",0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.115,0.477,122.017,4
6RtPijgfPKROxEzTHNRiDp,"0DxeaLnv6SyYk2DOqkLO8c","Rude","Don't Kill the Magic","MAGIC!",2014-06-25,224840,82,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"reggae fusion",0.773,0.758,1,-4.993,1,0.0381,0.0422,0,0.305,0.925,144.033,4
7vS3Y0IKjde7Xg85LWIEdP,"66CXWjxzNUsdJxJ2JdwvnR,5yG7ZAZafVaAlMTeBybKAL","Problem","My Everything (Deluxe)","Ariana Grande,Iggy Azalea",2014-08-25,193920,78,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop,australian hip hop,dance pop",0.66,0.805,1,-5.352,0,0.153,0.0192,0.00000883,0.159,0.625,103.008,4
5Nm9ERjJZ5oyfXZTECKmRt,"2wY79sveU1sp5g7SokKOiI","Stay With Me","In The Lonely Hour","Sam Smith",2014-05-26,172723,85,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop,uk pop",0.418,0.42,0,-6.444,1,0.0414,0.588,0.0000639,0.11,0.184,84.094,4
0n4bITAu0Y0nigrz3MFJMb,"0ZrpamOxcZybMHGg1AYtHP,4OBJLual30L7gRl5UkeRcT,2RdwBSPQiwcmiDo9kixcl8","Blurred Lines","Blurred Lines (Deluxe)","Robin Thicke,T.I.,Pharrell Williams",2013-01-01,263826,77,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,neo soul,pop rap,r&b,urban contemporary,atl hip hop,dirty south rap,gangster rap,hip hop,rap,southern hip hop,trap,pop",0.853,0.599,7,-4.756,1,0.0411,0.00334,0.00000793,0.0759,0.843,119.993,4
4G8gkOterJn0Ywt6uhqbhp,"53XhwfbYqKCa1cC15pYq2q","Radioactive","Night Visions","Imagine Dragons",2012-09-04,186813,74,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"modern rock,pop,rock",0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,4
01XFgRZfZI7oBagNf1Loml,"25fqWEebq6PoiGQIHIrdtv","Harlem Shake","Harlem Shake","Baauer",2013-02-12,196664,59,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"edm,electro house,electronic trap",0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825,4
3bidbhpOYeV4knp8AIu8Xn,"5BcAKTbp20cv7tC5VqPFoC,3JhNCzhSMTxs9WLGJJxWOY,4myTppRgh0rojLxx8RycOp,4e0nWw2r4BoQSKPQ2zpU13","Can't Hold Us (feat. Ray Dalton)","The Heist","Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Ray Dalton",2012-10-09,258342,83,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop rap,seattle hip hop",0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,4
4rHZZAmHpZrA3iH5zx8frV,"31TPClRtHm23RisEBtV3X7","Mirrors","The 20/20 Experience (Deluxe Version)","Justin Timberlake",2013-03-15,484146,79,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop",0.574,0.512,5,-6.664,0,0.0503,0.234,0,0.0946,0.512,76.899,4
4VC5nFbYO4avKksJ9jN4pY,"1KCSPY1glIKqW2TotWuXOR,1qUjOF5fzrpoNycD36b2jZ","Just Give Me a Reason (feat. Nate Ruess)","The Truth About Love","P!nk,Nate Ruess",2012-09-14,242733,0,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop",0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,4
0nJW01T7XtvILxQgC5J7Wh,"0du5cEVh5yTK9QJze8zA0C","When I Was Your Man","Unorthodox Jukebox","Bruno Mars",2012-12-07,213826,89,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop",0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,4
0i5el041vd6nxrGEU8QRxy,"3b8QkneNDz4JHKKKlLgYZg","Cruise","Here's To The Good Times","Florida Georgia Line",2012-01-01,208960,73,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"contemporary country,country,country pop,country road,modern country rock",0.457,0.948,10,-3.364,1,0.0354,0.0191,0,0.0536,0.878,148,4
6F5c58TMEs1byxUstkzVeM,"6jJ0s89eD6GaHleKKya26X","Roar","PRISM (Deluxe)","Katy Perry",2013-10-18,223546,74,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop",0.554,0.772,7,-4.821,0,0.0418,0.00487,0.0000066,0.354,0.455,179.984,4
4wCmqSrbyCgxEXROQE6vtV,"2AsusXITU8P25dlRNhcAbG,6hk7Yq1DU9QcCCrz9uc0Ti","Somebody That I Used To Know","Making Mirrors","Gotye,Kimbra",2011-01-01,244973,77,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"australian pop,bergen indie,electropop,nz pop",0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,4
3TGRqZ0a2l1LRblBkJoaDx,"6sFIWsNpZYqfjUpaCgueju","Call Me Maybe","Kiss (Deluxe)","Carly Rae Jepsen",2012-01-01,193400,75,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"canadian pop,dance pop,pop",0.783,0.58,7,-6.548,1,0.0408,0.0114,0.00000228,0.108,0.66,120.021,4
7a86XRg84qjasly9f6bPSD,"5nCi3BB41mBaMH9gfr6Su0,6ueGR6SWhUJfvEhqkvMsVs","We Are Young (feat. Janelle Monáe)","Some Nights","fun.,Janelle Monáe",2012-02-21,250626,75,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"baroque pop,metropopolis,afrofuturism,alternative r&b,atl hip hop,neo soul,r&b",0.378,0.638,10,-5.576,1,0.075,0.02,0.0000766,0.0849,0.735,184.086,4
7gUpO6td4OOnu0Lf9vhcIV,"0X2BH1fck6amBIoJhDVmmJ","Lights - Single Version","Lights","Ellie Goulding",2010,211800,63,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,indietronica,metropopolis,pop,uk pop",0.683,0.789,8,-6.132,0,0.0353,0.0283,0.0492,0.112,0.809,120.013,4
3AGOgQzp0YcPH41u9p7dOp,"2NhdGz9EDv2FeUw6udu2g1","Glad You Came","The Wanted (Special Edition)","The Wanted",2012-01-01,198186,63,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"boy band,dance pop,pop,post-teen pop",0.61,0.841,7,-4.579,0,0.0692,0.056,0.00000985,0.118,0.431,126.889,4
6D60klaHqbCl9ySc8VcRss,"3BmGtnKgCSGYIUhmivXKWX","Stronger (What Doesn't Kill You)","Stronger (Deluxe Version)","Kelly Clarkson",2011-10-24,221946,68,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop,talent show",0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,4
6qn9YLKt13AGvpq9jfO8py,"5pKCCKE2ajJHZ9KAiaK11H,7CajNmpbOovFoOoasH2HaY","We Found Love","Talk That Talk","Rihanna,Calvin Harris",2011-11-18,215226,85,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"barbadian pop,dance pop,pop,urban contemporary,edm,electro house,house,pop dance,progressive house,uk dance",0.734,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.986,4
3SPDQfj2UfWq6A2NllZnzn,"4AK6F7OLvEQ5QYCBNiQWHq","What Makes You Beautiful","Up All Night","One Direction",2012-05-25,198053,0,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"boy band,pop,post-teen pop,talent show",0.729,0.771,4,-2.451,1,0.0725,0.00761,0,0.087,0.873,125.011,4
1CkvWZme3pRgbzaxZnTl5X,"4dpARuHxo51G3z768sgnrY","Rolling in the Deep","21","Adele",2011-01-19,228293,1,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"british soul,pop,pop soul,uk pop",0.729,0.756,8,-5.119,1,0.0294,0.131,0,0.0527,0.522,104.945,4
0IkKz2J93C94Ei4BvDop7P,"3sgFRtyBnxXD5ESfmbK4dl,2jLE4BoXHriQ96JagEtiDP,53sIBaVjXQhfH89Vu6nEGh","Party Rock Anthem","Sorry For Party Rocking","LMFAO,Lauren Bennett,GoonRock",2011-01-01,262173,70,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop,pop rap",0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,4
4lCv7b86sLynZbXhfScfm2,"6jJ0s89eD6GaHleKKya26X","Firework","Teenage Dream: The Complete Confection","Katy Perry",2012-03-12,227880,73,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop",0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124.072,4
36ux3YuUsGTWPT8fXclS45,"6jJ0s89eD6GaHleKKya26X,5K4W6rqBFWDnAN6FQUkS6x","E.T.","Teenage Dream: The Complete Confection","Katy Perry,Kanye West",2012-03-12,229573,70,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop,chicago rap,hip hop,rap",0.62,0.869,1,-5.252,1,0.175,0.0181,0,0.369,0.76,151.684,4
4QNpBfC0zvjKqPJcyqBy9W,"0TnOYISbd1XYRBk9myaseg,21E3waRsmPlU7jZsS13rcj,4D75GcNG95ebPtNvoNVXhz,1ruutHJcECI7cos2n5TqpO","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","Planet Pit (Deluxe Version)","Pitbull,Ne-Yo,AFROJACK,Nayer",2011-06-17,252306,83,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,miami hip hop,pop,r&b,urban contemporary,big room,dutch house,edm,electro house,pop dance,deep dance pop",0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,4
2tJulUYLDKOg9XrtVkMgcJ,"0du5cEVh5yTK9QJze8zA0C","Grenade","Doo-Wops & Hooligans","Bruno Mars",2010-10-05,222091,79,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop",0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,4
7LcfRTgAVTs5pQGEQgUEzN,"04gDigrS5kc9YWfZHwBETP,1l7ZsJRRS8wlW3WfJfPfNS","Moves Like Jagger - Studio Recording From The Voice Performance","Hands All Over","Maroon 5,Christina Aguilera",2010,201160,74,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop,dance pop",0.722,0.758,11,-4.477,0,0.0471,0.0111,0,0.308,0.62,128.047,4
3JA9Jsuxr4xgHXEawAdCp4,"1yxSLGMDHlW21z4YXirZDS","Just Can’t Get Enough","The Beginning","Black Eyed Peas",2010-01-01,219426,78,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop,pop rap",0.659,0.628,0,-8.685,0,0.179,0.186,0,0.105,0.262,94.05,4
0HPD5WQqrq7wPWR7P7Dw1i,"6LqNN22kT3074XbTVUrhzX","TiK ToK","Animal (Expanded Edition)","Kesha",2010-01-01,199693,83,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop",0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,4
11EX5yhxr9Ihl3IN1asrfK,"32WkQRZEVKSzVAAYqukAEA","Need You Now","Need You Now","Lady A",2010-01-01,277573,74,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"contemporary country,country,country dawn,country pop,country road",0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,4
4HlFJV71xXKIGcU3kRyttv,"3FUY2gzHeIiaesXtOAdB7A","Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,84,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,neo mellow,pop,pop rock",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
6tS3XVuOyu10897O3ae7bi,"6jJ0s89eD6GaHleKKya26X,7hJcb9fa4alzcOq3EaNPoG","California Gurls","Teenage Dream: The Complete Confection","Katy Perry,Snoop Dogg",2012-03-12,234653,76,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop,g funk,gangster rap,hip hop,pop rap,rap,west coast rap",0.791,0.754,0,-3.729,1,0.0569,0.00446,0,0.163,0.425,125.014,4
1bM50INir8voAkVoKuvEUI,"23zg3TcAtWQy7J6upgbUnj,085pc2PYOi8bGKj0PNjekA","OMG (feat. will.i.am)","Raymond v Raymond (Expanded Edition)","Usher,will.i.am",2010-03-30,269493,75,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary,pop rap",0.781,0.745,4,-5.81,0,0.0332,0.198,0.0000114,0.36,0.326,129.998,4
1DqdF42leyFIzqNDv9CjId,"6MF9fzBmfXghAz953czmBC","Dynamite","Rokstarr","Taio Cruz",2010-01-01,203866,67,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop,pop rap",0.754,0.804,4,-3.177,1,0.0853,0.00332,0,0.0329,0.818,119.968,4
1CdqVF1ywD0ZO1zXtB9yWa,"6MF9fzBmfXghAz953czmBC,3ipn9JLAPI5GUEo4y4jcoi","Break Your Heart","Rokstarr","Taio Cruz,Ludacris",2010-01-01,186266,62,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop,pop rap,atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,rap,southern hip hop,trap",0.666,0.899,8,-4.676,1,0.028,0.00155,0,0.0677,0.629,122.05,4
0WfKDYeUAoLA3vdvLKKWMW,"1HY2Jd0NmPuamShAr6KMms","Poker Face","The Fame","Lady Gaga",2008-01-01,237200,0,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"art pop,dance pop,pop",0.851,0.806,4,-4.618,1,0.0786,0.12,0.00000133,0.121,0.776,119.001,4
6HkjpGIOHv4y0IBAxUbE5z,"1HY2Jd0NmPuamShAr6KMms,7fObcBw9VM3x7ntWKCYl0z","Just Dance","The Fame","Lady Gaga,Colby O'Donis",2008-01-01,241933,0,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"art pop,dance pop,pop",0.822,0.737,1,-4.542,0,0.0314,0.0261,0.0000419,0.18,0.753,118.994,4
